frame,car1_id,car2_id,distancia
1,1,2,13.518702232780843
2,1,2,13.424491227665937
3,2,1,13.364766707119964
4,1,2,13.33485219569586
5,1,2,13.333496728531703
6,2,1,13.287771836206918
7,2,1,13.234205512861005
8,2,1,13.161113356595491
9,2,1,13.133019313511364
10,2,1,13.087046361601349
11,1,2,13.028000826757426
12,2,1,12.973417834653288
13,2,1,12.912890926326115
14,1,2,12.856445572125425
15,1,2,12.783269820538386
16,1,2,12.7411510202685
17,1,2,12.692048258230734
18,2,1,12.638595059697412
19,1,2,12.588243212914978
20,1,2,12.562869849383103
21,2,1,12.517940616582004
22,1,2,12.470098513387684
23,1,2,12.43007664577825
24,1,2,12.386084322289559
25,1,2,12.2878915625397
26,1,2,12.28205818448481
27,2,1,12.207871846057593
28,2,1,12.128246384022816
29,2,1,12.070096326947722
30,2,1,11.997552622135
31,2,1,12.0160948583361
32,2,1,12.02421161819196
33,2,1,11.915681242491184
34,2,1,11.93750894755882
35,2,1,11.83031529010454
36,2,1,11.789063794317357
37,1,2,11.656227745873528
38,1,2,11.68786555243835
39,2,1,11.659676628536113
40,2,1,11.592912916209304
41,2,1,11.54456286581243
42,2,1,11.483506690176146
43,2,1,11.39807404428245
44,1,2,11.346612742468082
45,1,2,11.389312124270829
46,1,2,11.274460712400781
47,1,2,11.275252758500201
48,1,2,11.19266804077981
49,1,2,11.038359601427636
50,1,2,11.034840980009706
51,1,2,10.978232607597793
52,1,2,10.90794835898776
53,1,2,10.86854624806771
54,1,2,10.851942853530378
55,1,2,10.771257540959267
56,1,2,10.705690485758286
57,1,2,10.707783686166179
58,1,2,10.63797855936878
59,1,2,10.60965868833254
60,1,2,10.571344588840892
61,1,2,10.50268810921905
62,1,2,10.513252251344044
63,1,2,10.456936767060082
64,1,2,10.371067634736423
65,1,2,10.293163690042046
66,1,2,10.210484699696405
67,1,2,10.15131565831378
68,1,2,10.085987046620168
69,1,2,10.02243691116006
70,1,2,10.004241806652644
71,1,2,9.874301934014477
72,1,2,9.768312130301734
73,2,1,9.78103822716533
74,2,1,9.742503487633092
75,1,2,9.72923924638903
76,1,2,9.67185961794516
77,1,2,9.617568677077424
78,1,2,9.638861249089501
79,1,2,9.572638030592513
80,1,2,9.47412923470328
81,1,2,9.477216605233814
82,1,2,9.354676457187194
83,1,2,9.28537111591421
84,1,2,9.318393148322258
85,1,2,9.254138742330628
86,1,2,9.15881769937532
87,1,2,9.148404975657385
88,1,2,9.069011164453187
89,1,2,8.991288525464219
90,1,2,8.924210064120784
91,1,2,8.840044411249929
92,1,2,8.814725987010272
93,1,2,8.762060083074873
94,1,2,8.680069414555618
95,1,2,8.685234378162358
96,1,2,8.662886406453294
97,1,2,8.64171672084319
98,1,2,8.552755560960858
99,1,2,8.528490227985705
100,1,2,8.513290785302543
101,1,2,8.41219440148868
102,1,2,8.320894290838961
103,1,2,8.257614782992537
104,1,2,8.176685908352335
105,1,2,8.127378614417434
106,1,2,8.158851413298157
107,1,2,8.103584118248136
108,1,2,8.04923452208976
109,1,2,8.022232633791173
110,1,2,7.972983518515728
111,1,2,7.9248674447800065
112,1,2,7.803111546344029
113,1,2,7.6868993012735585
114,1,2,7.6528464712516495
115,1,2,7.606098699514608
116,1,2,7.591849383581597
117,1,2,7.527711915701278
118,1,2,7.459590642502505
119,1,2,7.495775940615108
120,1,2,7.437826710425325
121,1,2,7.38024741525651
122,1,2,7.300209606767081
123,1,2,7.25985994398308
124,1,2,7.23212544541727
125,1,2,7.0928252705535835
126,1,2,7.0693021442287
127,1,2,7.022412795017326
128,1,2,7.017913784850991
129,1,2,6.966673674268104
130,1,2,6.898374460003581
131,1,2,6.8761154657048245
132,1,2,6.803090728266914
133,1,2,6.76806850225533
134,1,2,6.698686032481861
135,1,2,6.629297266292488
136,1,2,6.626627596171362
137,1,2,6.517731762779362
138,1,2,6.503234938609249
139,1,2,6.425667564058915
140,1,2,6.419007340930522
141,1,2,6.350812616691976
142,1,2,6.340303433735324
143,1,2,6.3105501997244415
144,1,2,6.224739295984894
145,1,2,6.158701142445775
146,1,2,6.111927328606421
147,1,2,6.119881495905438
148,1,2,6.0036425659809725
149,1,2,5.9834468111772745
150,1,2,5.940215764606377
151,1,2,5.816991567782972
152,1,2,5.761065905810638
153,1,2,5.76138935763955
154,1,2,5.707143877760143
155,1,2,5.6336423815462675
156,1,2,5.548277427794278
157,1,2,5.468581714765661
158,1,2,5.4473759204726555
159,1,2,5.401660889823828
160,1,2,5.369905230717731
161,1,2,5.305296917658943
162,1,2,5.279806628298669
163,1,2,5.3235713707897805
164,1,2,5.257892126242802
165,1,2,5.226024925058623
166,1,2,5.165647324123249
167,1,2,5.114307134542338
168,1,2,4.993732720680564
169,1,2,5.0360382230973055
170,1,2,4.983535361048843
171,1,2,4.907069824144874
172,1,2,4.843443239404182
173,1,2,4.764711186081228
174,1,2,4.658715126801641
175,1,2,4.61851686294482
