Frame,ID,PosX,PosY,PosZ
469,Car Axis,1.0,72.11956787109375,2.200000047683716
470,Low Poly Human 2,0.0,62.0,0.0
470,Car Axis,1.0,72.06521606445312,2.200000047683716
471,Low Poly Human 2,0.0,62.0,0.0
471,Car Axis,1.0,72.01087188720703,2.200000047683716
472,Low Poly Human 2,0.0,62.0,0.0
472,Car Axis,1.0,71.9565200805664,2.200000047683716
473,Low Poly Human 2,0.0,62.0,0.0
473,Car Axis,1.0,71.90217590332031,2.200000047683716
474,Low Poly Human 2,0.0,62.0,0.0
474,Car Axis,1.0,71.84782409667969,2.200000047683716
475,Low Poly Human 2,0.0,62.0,0.0
475,Car Axis,1.0,71.7934799194336,2.200000047683716
476,Low Poly Human 2,0.0,62.0,0.0
476,Car Axis,1.0,71.73912811279297,2.200000047683716
477,Low Poly Human 2,0.0,62.0,0.0
477,Car Axis,1.0,71.68478393554688,2.200000047683716
478,Low Poly Human 2,0.0,62.0,0.0
478,Car Axis,1.0,71.63043212890625,2.200000047683716
479,Low Poly Human 2,0.0,62.0,0.0
479,Car Axis,1.0,71.57608795166016,2.200000047683716
480,Low Poly Human 2,0.0,62.0,0.0
480,Car Axis,1.0,71.52173614501953,2.200000047683716
481,Low Poly Human 2,0.0,62.0,0.0
481,Car Axis,1.0,71.46739196777344,2.200000047683716
482,Low Poly Human 2,0.0,62.0,0.0
482,Car Axis,1.0,71.41304016113281,2.200000047683716
483,Low Poly Human 2,0.0,62.0,0.0
483,Car Axis,1.0,71.35869598388672,2.200000047683716
484,Low Poly Human 2,0.0,62.0,0.0
484,Car Axis,1.0,71.3043441772461,2.200000047683716
485,Low Poly Human 2,0.0,62.0,0.0
485,Car Axis,1.0,71.25,2.200000047683716
486,Low Poly Human 2,0.0,62.0,0.0
486,Car Axis,1.0,71.1956558227539,2.200000047683716
487,Low Poly Human 2,0.0,62.0,0.0
487,Car Axis,1.0,71.14130401611328,2.200000047683716
488,Low Poly Human 2,0.0,62.0,0.0
488,Car Axis,1.0,71.08695983886719,2.200000047683716
489,Low Poly Human 2,0.0,62.0,0.0
489,Car Axis,1.0,71.03260803222656,2.200000047683716
490,Low Poly Human 2,0.0,62.0,0.0
490,Car Axis,1.0,70.97826385498047,2.200000047683716
491,Low Poly Human 2,0.0,62.0,0.0
491,Car Axis,1.0,70.92391204833984,2.200000047683716
492,Low Poly Human 2,0.0,62.0,0.0
492,Car Axis,1.0,70.86956787109375,2.200000047683716
493,Low Poly Human 2,0.0,62.0,0.0
493,Car Axis,1.0,70.81521606445312,2.200000047683716
494,Low Poly Human 2,0.0,62.0,0.0
494,Car Axis,1.0,70.76087188720703,2.200000047683716
495,Low Poly Human 2,0.0,62.0,0.0
495,Car Axis,1.0,70.7065200805664,2.200000047683716
496,Low Poly Human 2,0.0,62.0,0.0
496,Car Axis,1.0,70.65217590332031,2.200000047683716
497,Low Poly Human 2,0.0,62.0,0.0
497,Car Axis,1.0,70.59782409667969,2.200000047683716
498,Low Poly Human 2,0.0,62.0,0.0
498,Car Axis,1.0,70.5434799194336,2.200000047683716
499,Low Poly Human 2,0.0,62.0,0.0
499,Car Axis,1.0,70.48912811279297,2.200000047683716
500,Low Poly Human 2,0.0,62.0,0.0
500,Car Axis,1.0,70.43478393554688,2.200000047683716
501,Low Poly Human 2,0.0,62.0,0.0
501,Car Axis,1.0,70.38043212890625,2.200000047683716
502,Low Poly Human 2,0.0,62.0,0.0
502,Car Axis,1.0,70.32608795166016,2.200000047683716
503,Low Poly Human 2,0.0,62.0,0.0
503,Car Axis,1.0,70.27173614501953,2.200000047683716
504,Low Poly Human 2,0.0,62.0,0.0
504,Car Axis,1.0,70.21739196777344,2.200000047683716
505,Low Poly Human 2,0.0,62.0,0.0
505,Car Axis,1.0,70.16304016113281,2.200000047683716
506,Low Poly Human 2,0.0,62.0,0.0
506,Car Axis,1.0,70.10869598388672,2.200000047683716
507,Low Poly Human 2,0.0,62.0,0.0
507,Car Axis,1.0,70.05435180664062,2.200000047683716
508,Low Poly Human 2,0.0,62.0,0.0
508,Car Axis,1.0,70.0,2.200000047683716
509,Low Poly Human 2,0.0,62.0,0.0
509,Car Axis,1.0,69.94564819335938,2.200000047683716
510,Low Poly Human 2,0.0,62.0,0.0
510,Car Axis,1.0,69.89130401611328,2.200000047683716
511,Low Poly Human 2,0.0,62.0,0.0
511,Car Axis,1.0,69.83695983886719,2.200000047683716
512,Low Poly Human 2,0.0,62.0,0.0
512,Car Axis,1.0,69.78260803222656,2.200000047683716
513,Low Poly Human 2,0.0,62.0,0.0
513,Car Axis,1.0,69.72826385498047,2.200000047683716
514,Low Poly Human 2,0.0,62.0,0.0
514,Car Axis,1.0,69.67391204833984,2.200000047683716
515,Low Poly Human 2,0.0,62.0,0.0
515,Car Axis,1.0,69.61956787109375,2.200000047683716
516,Low Poly Human 2,0.0,62.0,0.0
516,Car Axis,1.0,69.56521606445312,2.200000047683716
517,Low Poly Human 2,0.0,62.0,0.0
517,Car Axis,1.0,69.51087188720703,2.200000047683716
518,Low Poly Human 2,0.0,62.0,0.0
518,Car Axis,1.0,69.4565200805664,2.200000047683716
519,Low Poly Human 2,0.0,62.0,0.0
519,Car Axis,1.0,69.40217590332031,2.200000047683716
520,Low Poly Human 2,0.0,62.0,0.0
520,Car Axis,1.0,69.34782409667969,2.200000047683716
521,Low Poly Human 2,0.0,62.0,0.0
521,Car Axis,1.0,69.2934799194336,2.200000047683716
522,Low Poly Human 2,0.0,62.0,0.0
522,Car Axis,1.0,69.23912811279297,2.200000047683716
523,Low Poly Human 2,0.0,62.0,0.0
523,Car Axis,1.0,69.18478393554688,2.200000047683716
524,Low Poly Human 2,0.0,62.0,0.0
524,Car Axis,1.0,69.13043212890625,2.200000047683716
525,Low Poly Human 2,0.0,62.0,0.0
525,Car Axis,1.0,69.07608795166016,2.200000047683716
526,Low Poly Human 2,0.0,62.0,0.0
526,Car Axis,1.0,69.02173614501953,2.200000047683716
527,Low Poly Human 2,0.0,62.0,0.0
527,Car Axis,1.0,68.96739196777344,2.200000047683716
528,Low Poly Human 2,0.0,62.0,0.0
528,Car Axis,1.0,68.91304016113281,2.200000047683716
529,Low Poly Human 2,0.0,62.0,0.0
529,Car Axis,1.0,68.85869598388672,2.200000047683716
530,Low Poly Human 2,0.0,62.0,0.0
530,Car Axis,1.0,68.80435180664062,2.200000047683716
531,Low Poly Human 2,0.0,62.0,0.0
531,Car Axis,1.0,68.75,2.200000047683716
532,Low Poly Human 2,0.0,62.0,0.0
532,Car Axis,1.0,68.69564819335938,2.200000047683716
533,Low Poly Human 2,0.0,62.0,0.0
533,Car Axis,1.0,68.64130401611328,2.200000047683716
534,Low Poly Human 2,0.0,62.0,0.0
534,Car Axis,1.0,68.58695983886719,2.200000047683716
535,Low Poly Human 2,0.0,62.0,0.0
535,Car Axis,1.0,68.53260803222656,2.200000047683716
536,Low Poly Human 2,0.0,62.0,0.0
536,Car Axis,1.0,68.47826385498047,2.200000047683716
537,Low Poly Human 2,0.0,62.0,0.0
537,Car Axis,1.0,68.42391204833984,2.200000047683716
538,Low Poly Human 2,0.0,62.0,0.0
538,Car Axis,1.0,68.36956787109375,2.200000047683716
539,Low Poly Human 2,0.0,62.0,0.0
539,Car Axis,1.0,68.31521606445312,2.200000047683716
540,Low Poly Human 2,0.0,62.0,0.0
540,Car Axis,1.0,68.26087188720703,2.200000047683716
541,Low Poly Human 2,0.0,62.0,0.0
541,Car Axis,1.0,68.2065200805664,2.200000047683716
542,Low Poly Human 2,0.0,62.0,0.0
542,Car Axis,1.0,68.15217590332031,2.200000047683716
543,Low Poly Human 2,0.0,62.0,0.0
543,Car Axis,1.0,68.09782409667969,2.200000047683716
544,Low Poly Human 2,0.0,62.0,0.0
544,Car Axis,1.0,68.0434799194336,2.200000047683716
545,Low Poly Human 2,0.0,62.0,0.0
545,Car Axis,1.0,67.98912811279297,2.200000047683716
546,Low Poly Human 2,0.0,62.0,0.0
546,Car Axis,1.0,67.93478393554688,2.200000047683716
547,Low Poly Human 2,0.0,62.0,0.0
547,Car Axis,1.0,67.88043212890625,2.200000047683716
548,Low Poly Human 2,0.0,62.0,0.0
548,Car Axis,1.0,67.82608795166016,2.200000047683716
549,Low Poly Human 2,0.0,62.0,0.0
549,Car Axis,1.0,67.77173614501953,2.200000047683716
550,Low Poly Human 2,0.0,62.0,0.0
550,Car Axis,1.0,67.71739196777344,2.200000047683716
551,Low Poly Human 2,0.0,62.0,0.0
551,Car Axis,1.0,67.66304016113281,2.200000047683716
552,Low Poly Human 2,0.0,62.0,0.0
552,Car Axis,1.0,67.60869598388672,2.200000047683716
553,Low Poly Human 2,0.0,62.0,0.0
553,Car Axis,1.0,67.55435180664062,2.200000047683716
554,Low Poly Human 2,0.0,62.0,0.0
