frame,car1_id,car2_id,distancia
483,2,3,4.775751125771733
484,2,3,4.799788629791214
485,2,3,4.757376244872479
486,3,2,4.758365438651884
490,3,2,4.780115396491531
491,3,2,4.758346608653842
492,2,3,4.707326717484555
493,2,3,4.713948225569642
494,2,3,4.712639899609179
495,3,2,4.74543696774611
496,3,2,4.775535998517384
497,3,2,4.767661029290949
498,3,2,4.753384770809646
499,3,2,4.722582826484507
500,3,2,4.748155798905161
501,3,2,4.766822548734883
502,2,3,4.794501315427719
503,2,3,4.831561950723304
504,2,3,4.832668365572166
511,2,3,4.798037970498429
512,2,3,4.821197200122332
535,3,2,4.760856726523326
536,2,3,4.784660655538622
537,2,3,4.724198138444444
538,2,3,4.717788399376531
539,2,3,4.7385403024286505
540,2,3,4.725905008153601
541,3,2,4.71438278771648
542,3,2,4.716273587125771
543,3,2,4.711427706709877
544,3,2,4.714493193755609
545,3,2,4.727362933596996
546,3,2,4.727930819158174
547,3,2,4.723229698490096
548,3,2,4.72677647024653
549,3,2,4.724106844202434
550,2,3,4.719795912994033
551,2,3,4.780793816366784
552,2,3,4.789644490156953
553,2,3,4.848947397921504
555,2,3,4.7868310285996465
558,2,3,4.758130544360933
559,2,3,4.77559215588709
560,3,2,4.77293690361304
562,2,3,4.758272526913436
563,2,3,4.76443083932512
564,2,3,4.764655485671591
565,2,3,4.762298018051415
566,2,3,4.761734901314887
567,2,3,4.757972035480182
568,2,3,4.7514292268828635
575,2,3,4.731752089480691
576,2,3,4.739209721073405
577,2,3,4.737674917634062
578,2,3,4.735277845521686
579,2,3,4.732993580784194
580,2,3,4.724396664073723
588,2,4,22.40942955805349
588,2,3,4.711865904440361
588,4,3,22.832962566709785
589,2,3,4.6989377289058885
589,2,4,22.013653315117857
589,3,4,22.465877861299045
590,2,4,22.070169047254677
590,2,3,4.704768568794655
590,4,3,22.481801025515974
592,2,3,4.728494502042889
593,3,2,4.737291322800066
594,3,2,4.709822570899152
594,3,4,22.818680860909282
594,2,4,22.44583061414137
595,3,2,4.689867492254494
596,3,2,4.708962050987585
597,3,2,4.692565725921923
598,3,2,4.719744254637416
599,3,2,4.705316098066833
600,3,2,4.711460948601311
600,3,4,22.700201237775616
600,2,4,22.28629982917344
601,3,2,4.7150500126463
602,2,3,4.7255192005585895
603,3,2,4.7743288056357835
605,2,3,4.727654567528555
606,2,3,4.721578622330211
607,2,3,4.72136274323642
608,2,3,4.723861184276964
609,2,3,4.728885265883441
610,2,3,4.730451797432822
611,2,3,4.735183818372785
612,2,3,4.734049592727107
613,2,3,4.73344396096194
613,2,4,23.048212271393265
613,3,4,23.188856854450492
614,2,4,22.98201832956061
614,2,3,4.743836748665114
614,4,3,23.164611375826325
615,2,3,4.735993768782437
615,2,4,22.880416128670422
615,3,4,23.09439925166412
616,2,3,4.731017449836351
616,2,4,23.30349016639653
616,3,4,23.48639057294495
617,2,3,4.739189278618853
617,2,4,23.28615844248348
617,3,4,23.438491647915257
618,2,3,4.73012694521554
618,2,4,23.190513631341382
618,3,4,23.357430169408637
619,3,4,23.267986909327
619,3,2,4.728702029454476
619,4,2,23.060007546444172
620,3,2,4.730907064109228
620,3,4,23.422046407002583
620,2,4,23.23495501130585
621,4,3,23.434431443743375
621,4,2,23.120422454750127
621,3,2,4.727578442747971
622,4,3,23.00845620679813
622,4,2,22.666105855801842
622,3,2,4.732109367988698
623,4,2,22.72326835980352
623,4,3,23.032642507352527
623,2,3,4.7432539935761415
624,2,4,22.230498478184064
624,2,3,4.750955220816422
624,4,3,22.600961111829136
625,2,4,22.415237375190642
625,2,3,4.77430126122054
625,4,3,22.560412399360047
626,2,3,4.806794474842818
626,2,4,23.017789234924667
626,3,4,23.04541466631646
627,2,3,4.796442196494816
627,2,4,22.86558122032532
627,3,4,23.008469650961423
628,2,3,4.771379299023184
628,2,4,22.466758982911653
628,3,4,22.829704137691262
629,2,3,4.7670169424026305
629,2,4,22.701503572176936
629,3,4,23.049655236360028
630,2,3,4.766455145196224
630,2,4,22.418952990414994
